Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Non-Travel,Travel_Frequently,Travel_Rarely,Departmnet_Human Resources,Departmnet_Research & Development,Departmnet_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,DistanceFromHome_normalized,DailyRate_normalized,HourlyRate_normalized,MonthlyRate_normalized,YearsAtCompany_normalized,YearsInCurrentRole_normalized,YearsSinceLastPromotion_normalized,YearsWithCurrManager_normalized,TotalWorkingYears_normalized,PercentSalaryHike_normalized,MonthlyIncome_normalized
41,1,1102,1,2,2,0,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.7425265337769018,1.3831382668932737,0.7260199409380492,2.449489742783178,2.0,0.0,2.23606797749979,2.8284271247461903,3.3166247903554,77.41446893184762
49,0,279,8,1,3,1,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,-1.2977746019136118,-0.2406767700620191,1.4888761391146892,3.1622776601683795,2.6457513110645907,1.0,2.6457513110645907,3.1622776601683795,4.795831523312719,71.62401831787993
37,1,1373,2,2,4,1,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.4143632382387843,1.2847252343505287,-1.6748408610979753,0.0,0.0,0.0,0.0,2.6457513110645907,3.872983346207417,45.71651780264984
33,0,1392,3,4,4,0,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1.4614661806180305,-0.4867093514188816,1.2432105837696696,2.8284271247461903,2.6457513110645907,1.7320508075688772,0.0,2.8284271247461903,3.3166247903554,53.9351462406472
27,0,591,2,1,1,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,-0.5242947060017769,-1.2740136117608418,0.3258998974213038,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.449489742783178,3.4641016151377544,58.88972745734183
32,0,1005,2,2,4,1,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0.5020536174196967,0.645040522822686,-0.34419928329096944,2.6457513110645907,2.6457513110645907,1.7320508075688772,2.449489742783178,2.8284271247461903,3.605551275463989,55.389529696504916
59,0,1324,3,3,3,0,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1.2928872289449382,0.743453555365431,-0.6112270608399039,1.0,0.0,0.0,0.0,3.4641016151377544,4.47213595499958,51.67204273105525
30,0,1358,24,1,4,1,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24,1.3771767047814845,0.05456232756621595,-0.1374635670938734,1.0,0.0,0.0,0.0,1.0,4.69041575982343,51.894122981316485
38,0,216,23,3,4,1,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,-1.4539580424342708,-1.0771875466753518,-0.7766437419846911,3.0,2.6457513110645907,1.0,2.8284271247461903,3.1622776601683795,4.58257569495584,97.6012295004525
36,0,1299,27,3,3,1,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,27,1.230909673182772,1.3831382668932737,0.31817014596593995,2.6457513110645907,2.6457513110645907,2.6457513110645907,2.6457513110645907,4.123105625617661,3.605551275463989,72.3671196055225
